,year,winner,gender,country,time,marathon
0,1949,G�sta Leandersson,Male,Sweden,02:31:50,Boston
0,1950,Ham Kee-Yong,Male,South Korea,02:32:39,Boston
0,1951,Shigeki Tanaka,Male,Japan,02:27:45,Boston
0,1952,Doroteo Flores,Male,Guatemala,02:31:53,Boston
0,1953,Keizo Yamada,Male,Japan,02:18:51,Boston
0,1954,Veikko Karvonen,Male,Finland,02:20:39,Boston
0,1955,Hideo Hamamura,Male,Japan,02:18:22,Boston
0,1956,Antti Viskari,Male,Finland,02:14:14,Boston
0,1957,John J. Kelley,Male,United States,02:20:05,Boston
0,1958,Franjo Mihalic,Male,Yugoslavia,02:25:54,Boston
0,1959,Eino Oksanen,Male,Finland,02:22:42,Boston
0,1960,Paavo Kotila,Male,Finland,02:20:54,Boston
0,1961,Eino Oksanen,Male,Finland,02:23:39,Boston
0,1962,Eino Oksanen,Male,Finland,02:23:48,Boston
0,1963,Aur�le Vandendriessche,Male,Belgium,02:18:58,Boston
0,1964,Aur�le Vandendriessche,Male,Belgium,02:19:59,Boston
0,1965,Morio Shigematsu,Male,Japan,02:16:33,Boston
0,1966,Kenji Kimihara,Male,Japan,02:17:11,Boston
1,1966,Bobbi Gibb,Female,United States,03:21:40,Boston
0,1967,Dave McKenzie,Male,New Zealand,02:15:45,Boston
1,1967,Bobbi Gibb,Female,United States,03:27:17,Boston
0,1968,Amby Burfoot,Male,United States,02:22:17,Boston
1,1968,Bobbi Gibb,Female,United States,03:30:00,Boston
0,1969,Yoshiaki Unetani,Male,Japan,02:13:49,Boston
1,1969,Sara Mae Berman,Female,United States,03:22:46,Boston
0,1970,Ron Hill,Male,United Kingdom,02:10:30,Boston
1,1970,Sara Mae Berman,Female,United States,03:05:07,Boston
2,1970,Gary Muhrcke,Male,United States,02:31:38,NYC
0,1971,�lvaro Mej�a,Male,Colombia,02:18:45,Boston
1,1971,Sara Mae Berman,Female,United States,03:08:30,Boston
2,1971,Norman Higgins,Male,United States,02:22:54,NYC
0,1972,Olavi Suomalainen,Male,Finland,02:15:39,Boston
1,1972,Nina Kuscsik,Female,United States,03:10:26,Boston
2,1972,Sheldon Karlin,Male,United States,02:27:52,NYC
3,1972,Nina Kuscsik,Female,United States,03:08:41,NYC
0,1973,Jon Anderson,Male,United States,02:16:03,Boston
1,1973,Jacqueline Hansen,Female,United States,03:05:59,Boston
2,1973,Tom Fleming,Male,United States,02:21:54,NYC
3,1973,Nina Kuscsik,Female,United States,02:57:07,NYC
0,1974,G�nter Hallas,Male,Germany,02:44:53,Berlin
1,1974,Jutta von Haase,Female,Germany,03:22:01,Berlin
2,1974,Neil Cusack,Male,Ireland,02:13:39,Boston
3,1974,Miki Gorman,Female,United States,02:47:11,Boston
4,1974,Norbert Sander,Male,United States,02:26:30,NYC
5,1974,Kathrine Switzer,Female,United States,03:07:29,NYC
0,1975,Ralf Bochr�der,Male,Germany,02:47:08,Berlin
1,1975,Christin Bochr�der,Female,Germany,02:59:15,Berlin
2,1975,Bill Rodgers,Male,United States,02:09:55,Boston
3,1975,Liane Winter,Female,Germany,02:42:24,Boston
